PostalCode,City,Municipality,Province
1000,Brussel,Brussel,Région
1020,Laken,Brussel,Région
1030,Schaarbeek,Schaarbeek,Région
1040,Etterbeek,Etterbeek,Région
1050,Elsene,Elsene,Région
1081,Koekelberg,Koekelberg,Région
1083,Ganshoren,Ganshoren,Région
1090,Jette,Jette,Région
1130,Haren,Brussel,Région
1140,Evere,Evere,Région
1160,Oudergem,Oudergem,Région
1180,Ukkel,Ukkel,Région
1190,Vorst,Vorst,Région
1300,Wavre,Wavre,Brabant
1300,Limal,Wavre,Brabant
1301,Bierges,Wavre,Brabant
1310,La,Hulpe,La
1315,Incourt,Incourt,Brabant
1315,Opprebais,Incourt,Brabant
1315,Piétrebais,Incourt,Brabant
1315,Glimes,Incourt,Brabant
1320,Beauvechain,Beauvechain,Brabant
1320,Nodebais,Beauvechain,Brabant
1330,Rixensart,Rixensart,Brabant
1332,Genval,Rixensart,Brabant
1351,Rosières,Rixensart,Brabant
1357,Hélécine,Hélécine,Brabant
1357,Neerheylissem,Hélécine,Brabant
1357,Opheylissem,Hélécine,Brabant
1357,Linsmeau,Hélécine,Brabant
1360,Perwez,Perwez,Brabant
1360,Orbais,Perwez,Brabant
1367,Ramillies,Ramillies,Brabant
1367,Huppaye,Ramillies,Brabant
1367,Bomal,Ramillies,Brabant
1367,Gérompont,Ramillies,Brabant
1370,Jodoigne,Jodoigne,Brabant
1370,Mélin,Jodoigne,Brabant
1370,Piétrain,Jodoigne,Brabant
1370,Lathuy,Jodoigne,Brabant
1370,Dongelberg,Jodoigne,Brabant
1370,Jauchelette,Jodoigne,Brabant
1380,Lasne,Lasne,Brabant
1380,Ohain,Lasne,Brabant
1380,Plancenoit,Lasne,Brabant
1380,Maransart,Lasne,Brabant
1400,Nivelles,Nivelles,Brabant
1400,Monstreux,Nivelles,Brabant
1401,Baulers,Nivelles,Brabant
1402,Thines,Nivelles,Brabant
1404,Bornival,Nivelles,Brabant
1410,Waterloo,Waterloo,Brabant
1430,Rebecq,Rebecq,Brabant
1430,Quenast,Rebecq,Brabant
1430,Bierghes,Rebecq,Brabant
1450,Chastre,Chastre,Brabant
1450,Gentinnes,Chastre,Brabant
1457,Walhain,Walhain,Brabant
1460,Ittre,Ittre,Brabant
1470,Genappe,Genappe,Brabant
1470,Bousval,Genappe,Brabant
1471,Loupoigne,Genappe,Brabant
1473,Glabais,Genappe,Brabant
