Code   	City	Municipality	Province
1000   	Brussel	Brussel	Région de Bruxelles-Capitale
1020	Laken	Brussel	Région de Bruxelles-Capitale
1030	Schaarbeek	Schaarbeek	Région de Bruxelles-Capitale
1040	Etterbeek	Etterbeek	Région de Bruxelles-Capitale
1050	Elsene	Elsene	Région de Bruxelles-Capitale
1060	Sint-Gillis	Sint-Gillis	Région de Bruxelles-Capitale
1080	Sint-Jans-Molenbeek	Sint-Jans-Molenbeek	Région de Bruxelles-Capitale
1081	Koekelberg	Koekelberg	Région de Bruxelles-Capitale
1082	Sint-Agatha-Berchem	Sint-Agatha-Berchem	Région de Bruxelles-Capitale
1083	Ganshoren	Ganshoren	Région de Bruxelles-Capitale
1090	Jette	Jette	Région de Bruxelles-Capitale
1120	Neder-Over-Heembeek	Brussel	Région de Bruxelles-Capitale
1130	Haren	Brussel	Région de Bruxelles-Capitale
1140	Evere	Evere	Région de Bruxelles-Capitale
1150	Sint-Pieters-Woluwe	Sint-Pieters-Woluwe	Région de Bruxelles-Capitale
1160	Oudergem	Oudergem	Région de Bruxelles-Capitale
1170	Watermaal-Bosvoorde	Watermaal-Bosvoorde	Région de Bruxelles-Capitale
1180	Ukkel	Ukkel	Région de Bruxelles-Capitale
1190	Vorst	Vorst	Région de Bruxelles-Capitale
1200	Sint-Lambrechts-Woluwe	Sint-Lambrechts-Woluwe	Région de Bruxelles-Capitale
1210	Sint-Joost-ten-Node	Sint-Joost-ten-Node	Région de Bruxelles-Capitale
1300	Wavre	Wavre	Brabant wallon
1300	Limal	Wavre	Brabant wallon
1301	Bierges	Wavre	Brabant wallon
1310	La Hulpe	La Hulpe	Brabant wallon
1315	Incourt	Incourt	Brabant wallon
1315	Opprebais	Incourt	Brabant wallon
1315	Piétrebais	Incourt	Brabant wallon
1315	Glimes	Incourt	Brabant wallon
1315	Roux-Miroir	Incourt	Brabant wallon
1320	Beauvechain	Beauvechain	Brabant wallon
1320	Hamme-Mille	Beauvechain	Brabant wallon
1320	Tourinnes-la-Grosse	Beauvechain	Brabant wallon
1320	Nodebais	Beauvechain	Brabant wallon
1320	L’Ecluse	Beauvechain	Brabant wallon
1325	Chaumont-Gistoux	Chaumont-Gistoux	Brabant wallon
1325	Corroy-le-Grand	Chaumont-Gistoux	Brabant wallon
1325	Longueville	Chaumont-Gistoux	Brabant wallon
1325	Bonlez	Chaumont-Gistoux	Brabant wallon
1325	Dion-Valmont	Chaumont-Gistoux	Brabant wallon
1330	Rixensart	Rixensart	Brabant wallon
1332	Genval	Rixensart	Brabant wallon
1340	Ottignies-Louvain-la-Neuve	Ottignies-Louvain-la-Neuve	Brabant wallon
1340	Ottignies	Ottignies-Louvain-la-Neuve	Brabant wallon
1341	Céroux-Mousty	Ottignies-Louvain-la-Neuve	Brabant wallon
1342	Limelette	Ottignies-Louvain-la-Neuve	Brabant wallon
1348	Louvain-la-Neuve	Ottignies-Louvain-la-Neuve	Brabant wallon
1350	Orp-Jauche	Orp-Jauche	Brabant wallon
1350	Jauche	Orp-Jauche	Brabant wallon
1350	Orp-le-Grand	Orp-Jauche	Brabant wallon
1350	Jandrain-Jandrenouille	Orp-Jauche	Brabant wallon
1350	Noduwez	Orp-Jauche	Brabant wallon
1350	Marilles	Orp-Jauche	Brabant wallon
1350	Folx-les-Caves	Orp-Jauche	Brabant wallon
1350	Énines	Orp-Jauche	Brabant wallon
1351	Rosières	Rixensart	Brabant wallon
1357	Hélécine	Hélécine	Brabant wallon
1357	Neerheylissem	Hélécine	Brabant wallon
1357	Opheylissem	Hélécine	Brabant wallon
1357	Linsmeau	Hélécine	Brabant wallon
1360	Perwez	Perwez	Brabant wallon
1360	Thorembais-Saint-Trond	Perwez	Brabant wallon
1360	Malèves-Sainte-Marie-Wastines	Perwez	Brabant wallon
1360	Thorembais-les-Béguines	Perwez	Brabant wallon
1360	Orbais	Perwez	Brabant wallon
1367	Ramillies	Ramillies	Brabant wallon
1367	Huppaye	Ramillies	Brabant wallon
1367	Geest-Gérompont-Petit-Rosière	Ramillies	Brabant wallon
1367	Ramillies-Offus	Ramillies	Brabant wallon
1367	Autre-Église	Ramillies	Brabant wallon
1367	Mont-Saint-André	Ramillies	Brabant wallon
1367	Grand-Rosière-Hottomont	Ramillies	Brabant wallon
1367	Bomal	Ramillies	Brabant wallon
1367	Gérompont	Ramillies	Brabant wallon
1370	Jodoigne	Jodoigne	Brabant wallon
1370	Zétrud-Lumay	Jodoigne	Brabant wallon
1370	Mélin	Jodoigne	Brabant wallon
1370	Piétrain	Jodoigne	Brabant wallon
1370	Lathuy	Jodoigne	Brabant wallon
1370	Saint-Jean-Geest	Jodoigne	Brabant wallon
1370	Saint-Remy-Geest	Jodoigne	Brabant wallon
1370	Dongelberg	Jodoigne	Brabant wallon
1370	Jodoigne-Souveraine	Jodoigne	Brabant wallon
1370	Jauchelette	Jodoigne	Brabant wallon
1380	Lasne	Lasne	Brabant wallon
1380	Ohain	Lasne	Brabant wallon
1380	Lasne-Chapelle-Saint-Lambert	Lasne	Brabant wallon
1380	Plancenoit	Lasne	Brabant wallon
1380	Couture-Saint-Germain	Lasne	Brabant wallon
1380	Maransart	Lasne	Brabant wallon
1390	Grez-Doiceau	Grez-Doiceau	Brabant wallon
1390	Bossut-Gottechain	Grez-Doiceau	Brabant wallon
1390	Nethen	Grez-Doiceau	Brabant wallon
1390	Archennes	Grez-Doiceau	Brabant wallon
1390	Biez	Grez-Doiceau	Brabant wallon
1400	Nivelles	Nivelles	Brabant wallon
